,description,tables
0,"Таблица bha_run содержит информацию о выполнении колонного набора instruments. Таблица имеет поля: id - идентификатор операции, well_id - идентификатор скважины, casing_column - информация о стволе колонного набора, interval_from - начальный интервал, interval_to - конечный интервал, project - проект, run - номер рабочей операции, version - версия, time_from - время начала, time_to - время окончания, time_duration_hours - общее время, duration_drilling_hours - время бурения, duration_circulation_hours - время циркуляции, knbk_fact_id - дополнительная информация о факторе, knbk_fact_title - заголовок дополнительной информации о факторе, knbk_goal - цели факторов, chisel_type - тип режущей пластины, chisel_size - размер режущей пластины, chisel_rise_reason - причина подъема режущей пластины, nnd_min - минимальное значение частоты вращения, nnd_max - максимальное значение частоты вращения, nnd_avg - среднее значение частоты вращения, consumption_avg - среднее значение потребления, liquor_type - тип жидкости, liquor_density_min - минимальная плотность жидкости, liquor_density_max - максимальная плотность жидкости, liquor_density_avg - среднее значение плотности жидкости, pressure_min - минимальное давление, pressure_max - максимальное давление, msp_avg - среднее значение давления удара, msp_trip - показатель пуска, msp_circulation - показатель циркуляции, sinking - опущение.","bha_run: ['id', 'well_id', 'casing_column', 'interval_from', 'interval_to', 'project', 'run', 'version', 'time_from', 'time_to', 'time_duration_hours', 'duration_drilling_hours', 'duration_circulation_hours', 'knbk_fact_id', 'knbk_fact_title', 'knbk_goal', 'chisel_type', 'chisel_size', 'chisel_rise_reason', 'nnd_min', 'nnd_max', 'nnd_avg', 'consumption_avg', 'liquor_type', 'liquor_density_min', 'liquor_density_max', 'liquor_density_avg', 'pressure_min', 'pressure_max', 'msp_avg', 'msp_trip', 'msp_circulation', 'sinking']"
1,"Таблица casing_column_descent_protocol_elements содержит элементы протокола спуска обсадных колонн. Таблица имеет поля: Поле id, версия информационной модели, item_order - порядок размещения элемента, group_id - идентификатор группы элементов, type - тип элемента, casing_column_equipment_element - номер оборудования обсадной колонны, length - длина элемента, type_thread - тип стежка, installation_depth_from - глубина установки с, length_accumulated - суммарная длина элемента, casing_stab_rate - тип колонны, installation_depth_to - глубина установки по, comment - комментарий.","casing_column_descent_protocol_elements: ['id', 'version', 'item_order', 'group_id', 'type', 'casing_column_equipment_element', 'length', 'type_thread', 'installation_depth_from', 'length_accumulated', 'casing_stab_rate', 'installation_depth_to', 'comment']"
2,"Таблица auto_drilling_program_stage содержит информацию о этапах программ автоматического бурения. Таблица имеет поля: идентификатор, версия, id программы автоматического бурения, тип, порядок позиции, глубина от, глубина до.","auto_drilling_program_stage: ['id', 'version', 'auto_drilling_program_program_id', 'type', 'item_order', 'depth_from', 'depth_to']"
3,"Таблица auto_drilling_program содержит информацию о программах автоматического бурения скважин. Таблица имеет поля:  id - уникальный идентификатор программы,  well_id - связь с родительской таблицей по идентификатору скважины,  version - версия программы,  title - название программы,  item_order - порядок исполнения заданий,  is_startable - возможность начать исполнение программы,  depth_from - начальная глубина бурения,  depth_to - конечная глубина бурения,  well_construction - тип конструкции скважины,  status - текущий статус программы.","auto_drilling_program: ['id', 'well_id', 'version', 'title', 'item_order', 'is_startable', 'depth_from', 'depth_to', 'well_construction', 'status']"
4,"Таблица auto_drilling_template содержит информацию о шаблонах автоматического бурения. Таблица имеет поля: id - идентификатор шаблона, title - название шаблона, stages - этапы бурения.  Таблица drilling_sites содержит информацию о месторождениях. Таблица имеет поля: id - идентификатор месторождения, name - название месторождения, location - координаты месторождения.  Таблица wells содержит информацию о скважинах. Таблица имеет поля: id - идентификатор скважины, name - название скважины, drilling_site_id - связь с месторождением, status - статус скважины.  Таблица drilling_equipment содержит информацию о буровых машинах. Таблица имеет поля: id - идентификатор буровой машины, name - название буровой машины, location - координаты буровой машины.  Таблица drilling_operations содержит информацию о бурению. Таблица имеет поля: id - идентификатор бурения, well_id - связь со скважиной, drilling_equipment_id - связь с буровой машиной, start_date - дата начала бурения, end_date - дата окончания бурения.  Таблица drilling_report содержит информацию о отчетах по бурению. Таблица имеет поля: id - идентификатор отчета, drilling_operations_id - связь с бурением, report_date - дата отчета, notes - комментарии.","auto_drilling_template: ['id', 'title', 'stages']"
5,"Таблица calendar_schedule содержит информацию о расписании бурения скважин. Таблица имеет поля: id, well_id, assimilation_end_fact, assimilation_end_plan, assimilation_fact_days_count, assimilation_plan_days_count, assimilation_start_fact, assimilation_start_plan, drilling_end_fact, drilling_end_plan, drilling_fact_days_count, drilling_plan_days_count, drilling_start_fact, drilling_start_plan, version, vmr_end_fact, vmr_end_plan, vmr_fact_days_count, vmr_plan_days_count, vmr_start_fact, vmr_start_plan, sinking_before_descent, circulation_time_before_descent, drilling_time_before_descent, wear_code_before_descent, suspension_work_for_assimilation_waiting_period_start_plan, suspension_work_for_assimilation_waiting_period_end_plan, suspension_plan_days_count, suspension_work_for_assimilation_waiting_period_start_fact, suspension_work_for_assimilation_waiting_period_end_fact, suspension_fact_days_count","calendar_schedule: ['id', 'well_id', 'assimilation_end_fact', 'assimilation_end_plan', 'assimilation_fact_days_count', 'assimilation_plan_days_count', 'assimilation_start_fact', 'assimilation_start_plan', 'drilling_end_fact', 'drilling_end_plan', 'drilling_fact_days_count', 'drilling_plan_days_count', 'drilling_start_fact', 'drilling_start_plan', 'version', 'vmr_end_fact', 'vmr_end_plan', 'vmr_fact_days_count', 'vmr_plan_days_count', 'vmr_start_fact', 'vmr_start_plan', 'sinking_before_descent', 'circulation_time_before_descent', 'drilling_time_before_descent', 'wear_code_before_descent', 'suspension_work_for_assimilation_waiting_period_start_plan', 'suspension_work_for_assimilation_waiting_period_end_plan', 'suspension_plan_days_count', 'suspension_work_for_assimilation_waiting_period_start_fact', 'suspension_work_for_assimilation_waiting_period_end_fact', 'suspension_fact_days_count']"
6,"Таблица casing_column_descent_protocol_groups содержит информацию о группах протоколов спуска колонн на разрыв. Таблица имеет поля: id, well_id - идентификатор скважины, version - версия протокола, number - номер группы протоколов, casing_column - колонна колонн на разрыв, casing_column_diameter - диаметр колонн на разрыв.","casing_column_descent_protocol_groups: ['id', 'well_id', 'version', 'number', 'casing_column', 'casing_column_diameter']"
7,"Таблица cement_chemical_reagents_consumptions содержит информацию о расходах химических реагентов и цемента. Таблица имеет поля:  id - идентификатор записи,  version - версия записи,  well_id - идентификатор скважины,  date - дата,  name - название химического реагента или цемента,  unit - единица измерения,  casing_column - длина колонны,  income_per_day - дневной доход,  expense_per_day - дневной расход,  expense_from_building_start - расход с момента начала строительства,  balance - остаток,  expense_per_section - расход на сечении,  arrival - привезенное количество.","cement_chemical_reagents_consumptions: ['id', 'version', 'well_id', 'date', 'name', 'unit', 'casing_column', 'income_per_day', 'expense_per_day', 'expense_from_building_start', 'balance', 'expense_per_section', 'arrival']"
8,"Таблица chemical_reagent_consumption_for_development содержит информацию о потреблении химических реагентов для бурения. Таблица имеет поля: id - идентификатор записи, version - версия записи, project_id - идентификатор проекта, operation_type - тип операции, reagent_name - назва реагента, volume - объем потребления, flow_rate - скорость потребления, required_quantity_for_first_object - необходимая кратность для первого объекта, required_quantity_for_next_objects - необходимая кратность для следующих объектов, required_quantity_per_well - необходимая кратность на скважину.","chemical_reagent_consumption_for_development: ['id', 'version', 'project_id', 'operation_type', 'reagent_name', 'volume', 'flow_rate', 'required_quantity_for_first_object', 'required_quantity_for_next_objects', 'required_quantity_per_well']"
9,"Таблица auto_drilling_asb_drm содержит информацию о дрельнодвигательных машинах для бурения скважин. Таблица имеет поля: Поле id - идентификатор записи, asb_well_id - идентификатор скважины, manipulation_name - название режима бурения, section_name - название сегмента скважины, auto_drilling_program_id - идентификатор автоматического программы бурения, depth_start - начальная глубина бурения, depth_end - конечная глубина бурения, params - параметры.","auto_drilling_asb_drm: ['id', 'asb_well_id', 'manipulation_name', 'section_name', 'auto_drilling_program_id', 'depth_start', 'depth_end', 'params']"
10,"Таблица auto_drilling_program_operation содержит информацию о действиях программы автоматического бурения. Таблица имеет поля: id, version - версия операции, auto_drilling_program_stage_id - идентификатор этапа бурения, type - тип операции, item_order - порядок/actions в процессе бурения, params - произвольные параметры.","auto_drilling_program_operation: ['id', 'version', 'auto_drilling_program_stage_id', 'type', 'item_order', 'params']"
11,"Таблица casing_column_descent_protocol_casing_stab содержит информацию о протоколе спуска колларного стола по колонне. Таблица имеет поля:  casing_column_descent_protocol_id - уникальный номер протокола спуска колларного стола по колонне,  casing_stab_id - уникальный номер колларного стола.","casing_column_descent_protocol_casing_stab: ['casing_column_descent_protocol_id', 'casing_stab_id']"
12,"Таблица cement_bridges содержит информацию о мостах цементации. Таблица имеет поля: id, версия шаблона, id скважины, depth_from - начальная глубина моста цементации, depth_to - конечная глубина моста цементации, mounting_start_time - время начала подъема моста цементации, mounting_end_time - время окончания подъема моста цементации, mounting_duration - продолжительность подъема моста цементации, buffer_volume - объем буфера, buffer_density - плотность буфера, grade_lightweight_cement - класс бетона с низкой плотностью, volume_lightweight_cement - объем бетона с низкой плотностью, density_lightweight_cement - плотность бетона с низкой плотностью, grade_heavy_cement - класс бетона высокого сжатия, volume_heavy_cement - объем бетона высокого сжатия, density_heavy_cement - плотность бетона высокого сжатия, displacement_fluid_volume - объем смеси для смещения, displacement_fluid_density - плотность смеси для смещения, is_cementing_by_plan - проверка на выполнение по плану, notes - примечания.","cement_bridges: ['id', 'version', 'well_id', 'cement_bridge_mounting_depth_from', 'cement_bridge_mounting_depth_to', 'mounting_start_time', 'mounting_end_time', 'mounting_duration', 'buffer_volume', 'buffer_density', 'lightweight_cement_grade', 'lightweight_cement_volume', 'lightweight_cement_density', 'heavy_cement_grade', 'heavy_cement_volume', 'heavy_cement_density', 'displacement_fluid_volume', 'displacement_fluid_density', 'is_cementing_by_plan', 'notes']"
